accession,name
NF01401B,NF01401B
NF502_5,NF502-5
OKAY,Okay
NF12AS-91-4_1,NF12AS-91-4-1
AURORA,Aurora
NF05424_2,NF05424-2
NF13-4214-4_5,NF13-4214-4-5
PA7617-3658,PI-555733
NF13-4124-4_3,NF13-4124-4-3
NF12AS-122-4_3,NF12AS-122-4-3
NF13-4157-4_2,NF13-4157-4-2
NF13-4083-4_6,NF13-4083-4-6
NF12AS-122-4_4,NF12AS-122-4-4
Clav 7618,Clav-7618
NORA,Nora
NF13-4126-4_3,NF13-4126-4-3
NF13-4124-4_8,NF13-4124-4-8
NF13-4214-4_1,NF13-4214-4-1
NF01404A,NF01404A
NF12AS-107-4_4,NF12AS-107-4-4
PA7617-3460,PI-555736
NF00407,NF00407
Clav 4476,Clav-4476
NF12AS-73-4_3,NF12AS-73-4-3
NF12AS-108-4_4,NF12AS-108-4-4
NF401_1,NF401-1
NF97405B2,NF97405B2
NF13-4173-4_6,NF13-4173-4-6
NF18,NF18
NF13-4173-4_4,NF13-4173-4-4
NF99414,NF99414
FLLA17088-77,FLLA17088-77
FLLA17069-52,FLLA17069-52
FLLA17069-53,FLLA17069-53
SCLA17031SBSS-4-1,SCLA17031SBSS-4-1
LA17089SBS-45-1-1,LA17089SBS-45-1-1
FLLA17069-65,FLLA17069-65
SCLA17018SBSS-45-1,SCLA17018SBSS-45-1
TX19CAS0058,TX19CAS0058
FLLA17069-54,FLLA17069-54
LA17153SBSS-46-1,LA17153SBSS-46-1
SCLA17080SBS-4-2,SCLA17080SBS-4-2
TX19CAS0057,TX19CAS0057
LA17129SBSS-8-1,LA17129SBSS-8-1
LA17153SBSS-55-1,LA17153SBSS-55-1
FLLA17088-61,FLLA17088-61
LA17069SBSS-2-1,LA17069SBSS-2-1
LA17075SBSS-29-1,LA17075SBSS-29-1
FLLA11019-8,FLLA11019-8
FLLA16083-25,FLLA16083-25
Clav 6982,Clav-6982
LA08039SBSBS-56-A1,LA08039SBSBS-56-A1
NF13-4173-4_5,NF13-4173-4-5
NF12AS-108-4_1,NF12AS-108-4-1
NF13-4153-4_2,NF13-4153-4-2
NF12AS-100-4_2,NF12AS-100-4-2
